Termo Sugerido (Mais Comum);Variações Detectadas (Duplicatas);Qtd Variações;Frequência Total
Energia elétrica - consumo;Energia elétrica - consumidor [Score: 95];1;24
Macroeconomia;Microeconomia [Score: 92];1;31
Necessidade informacional;Necessidades informacionais [Score: 92];1;26
Sociedade;Saciedade [Score: 89];1;25
Amazônia Legal;Amazônica Legal [Score: 97];1;26
Stress ocupacional;Estresse ocupacional [Score: 95];1;37
Acidente vascular cerebral;Acidentes vasculares cerebrais [Score: 89];1;27
Estruturas metálicas;Estrutura metálica [Score: 95];1;27
Terceirização;Mercerização [Score: 88];1;27
Mobilidade;Motilidade [Score: 90];1;28
Insulina;Insulinoma [Score: 89];1;26
Psicologia educacional;Sociologia educacional [Score: 91];1;32
Antibióticos;Antimicóticos [Score: 88];1;32
Transferência de tecnologia;Transferência Tecnológica [Score: 88];1;27
Ambientes virtuais de aprendizagem;Ambiente virtual de aprendizagem [Score: 94];1;25
Brasil. Superior Tribunal de Justiça (STJ);Superior Tribunal de Justiça (STJ) [Score: 89];1;41
Desigualdade de gênero;Igualdade de gênero [Score: 93];1;33
Avaliação psicológica;Avaliação neuropsicológica [Score: 89];1;30
Paracoccidioidomicose;Coccidioidomicose [Score: 89];1;25
Bibliotecas públicas;Biblioteca pública [Score: 95];1;27
Colonialismo;Neocolonialismo [Score: 89];1;25
Sono;Sonho [Score: 89];1;25
Bem-estar no trabalho;Mal-estar no trabalho [Score: 90];1;26
Violência familiar;Violência militar [Score: 91];1;24
Bibliotecas;Biblioteca [Score: 95];1;25
Espectroscopia;Espetroscopia [Score: 96];1;38
Cabos condutores;Cabo condutor [Score: 90];1;24
Movimento dos Trabalhadores Rurais Sem Terra (MST);Movimento dos Trabalhadores Rurais Sem Terra (MST) - mulheres [Score: 90];1;24
Brasil - relações exteriores;Rússia - relações exteriores [Score: 89];1;23
Configuração urbana;Reconfiguração urbana [Score: 95];1;23
Política - Brasil;Geopolítica - Brasil [Score: 92];1;27
História de vida;Histórias de vida [Score: 97];1;25
Presidencialismo;Semipresidencialismo [Score: 89];1;24
Mariposa;Mariposas [Score: 94];1;22
Fotossíntese;Fitossíntese [Score: 92];1;22
Drogas - abuso;Drogas - uso [Score: 92];1;25
Reação em cadeia de polimerase;Reação em cadeia da polimerase [Score: 97];1;24
Impressão 3D;Bioimpressão 3D [Score: 89];1;23
Gerenciamento de resultados;Gerenciamento de resíduos [Score: 88];1;26
Primata;Primatas [Score: 93];1;33
Iluminação natural;Iluninação natural [Score: 94];1;22
Avaliação de riscos;Avaliação de risco [Score: 97];1;22
Cosmologia;Cosmetologia [Score: 91];1;22
Aranha;Aranhas [Score: 92];1;22
Programa Nacional do Livro Didático (PNLD);Plano Nacional do Livro Didático (PNLD) [Score: 89];1;24
Política cultural;Política e cultura [Score: 91];1;22
Educação em enfermagem;Educação de enfermagem [Score: 95];1;23
Bases de dados;Base de dados [Score: 96];1;25
Política de saúde - Brasil;Política de saúde - Cuba [Score: 88];1;23
Opinião pública;Opnião pública [Score: 97];1;24
Plataformas digitais;Plataforma digital [Score: 89];1;25
Gato;Gatos [Score: 89];1;28
Plantas - melhoramento genético;Animais - melhoramento genético [Score: 90];1;29
Genomas;Genoma [Score: 92];1;36
Enfermagem pediátrica;Enfermagem geriátrica [Score: 90];1;34
Pele - doenças;Peixe - doenças [Score: 90];1;25
Neutrófilos;Neutrófilo [Score: 95];1;24
Racismo - Brasil;Urbanismo - Brasil [Score: 88];1;24
Estresse oxidativo;Stress oxidativo [Score: 94];1;44
Morcegos;Morcego [Score: 93];1;27
Terras indígenas;Terra indígena [Score: 93];1;24
Recursos didáticos;Recursos midiáticos [Score: 92];1;24
Mudanças organizacionais;Mudança organizacional [Score: 91];1;24
História oral;História local [Score: 89];1;23
Psicologia industrial;Ecologia industrial [Score: 90];1;28
Fraude;Fraudes [Score: 92];1;23
Mulheres indígenas;Mulher indígena [Score: 91];1;23
Psicologia experimental;Ecologia experimental [Score: 91];1;23
Masculinidade;Masculinidades [Score: 96];1;31
Tecnologia em saúde;Tecnologias em saúde [Score: 97];1;31
Palmeira;Palmeiras [Score: 94];1;27
Citocinas;Citocina [Score: 94];1;28
Modelagem Numérica;Modelagens numéricas [Score: 89];1;34
Direito Achado na Rua;O Direito Achado na Rua [Score: 95];1;33
Deficiência intelectual;Deficiência intelectuaI [Score: 96];1;33
Bioinformática;Informática [Score: 88];1;46
Controle de qualidade;Controle de natalidade [Score: 88];1;33
Corporeidade;Corporalidade [Score: 88];1;35
Arte - estudo e ensino;Saúde - estudo e ensino [Score: 89];1;42
Saneamento;Escaneamento [Score: 91];1;33
Competência profissional;Competências profissionais [Score: 92];1;36
Transportes;Transporte [Score: 95];1;39
Regularização fundiária;Regularização fiduciária [Score: 89];1;32
Medidas socioeducativas;Medida socioeducativa [Score: 95];1;46
Energia renovável;Energia não renovável [Score: 89];1;32
Edifícios;Edífícios [Score: 89];1;32
Monitoramento;Biomonitoramento [Score: 90];1;37
Dinâmica molecular;Dinâmica folicular [Score: 89];1;32
Língua estrangeira - estudo e ensino;Línguas estrangeiras - estudo e ensino [Score: 97];1;42
Mulheres na política;Mulheres - política [Score: 92];1;31
Democracia - Brasil;Demografia - Brasil [Score: 89];1;31
Hormônio;Hormônios [Score: 94];1;35
Ratos;Rato [Score: 89];1;40
Fungos fitopatogênicos;Fungos patogênicos [Score: 90];1;55
Nematóide das galhas;Nematóide-das-galhas [Score: 90];1;35
Plantio direto;Plano diretor [Score: 89];1;42
Geografia - estudo e ensino;Geometria - estudo e ensino [Score: 89];1;57
Psicoses;Psicose [Score: 93];1;38
Comportamento informacional;Comportamento infracional [Score: 96];1;36
Lei de Acesso à Informação;Direito de acesso à informação [Score: 89];1;36
Processamento de sinais;Processamento de Sinai [Score: 98];1;36
Relações raciais;Relações espaciais [Score: 88];1;37
Justiça social;Justiça local [Score: 89];1;36
Política monetária;Políticas monetárias [Score: 95];1;35
Cáries dentárias;Cárie dentária [Score: 93];1;40
Cuidados de Enfermagem;Cuidados em enfermagem [Score: 95];1;36
Reações químicas;Extrações químicas [Score: 88];1;35
Anfíbio;Anfíbios [Score: 93];1;40
Doença de Chagas;Doenças de Chagas [Score: 97];1;36
LGBTQIAP+;LGBTQIA+ [Score: 94];1;36
Esportes;Esporte [Score: 93];1;41
Língua portuguesa - estudo e ensino - falantes estrangeiros;Língua inglesa - estudo e ensino - falantes estrangeiros [Score: 92];1;38
Inseto;Insetos [Score: 92];1;36
Ecologia agrícola;Economia agrícola [Score: 88];1;41
Gases - efeito estufa;Gases de efeito estufa [Score: 93];1;31
Zoneamento ambiental;Saneamento ambiental [Score: 90];1;32
Dietas;Dieta [Score: 91];1;36
Cólon (Anatomia) - câncer;Colón (Anatomia) - câncer [Score: 92];1;29
Pressão arterial;Pressão lateral [Score: 90];1;29
Extrativismo;Neoextrativismo [Score: 89];1;30
Ciências Sociais;Cências sociais [Score: 97];1;29
Arquivos;Arquivo [Score: 93];1;31
Trabalhadores rurais;Trabalhadoras rurais [Score: 95];1;33
Crescimento Urbano;Crescimento humano [Score: 89];1;29
Colorimetria;Calorimetria [Score: 92];1;34
Repositório institucional;Repositórios institucionais [Score: 92];1;29
Eficiência (Serviço público);Eficiência - serviço público [Score: 93];1;29
Coronavírus;Coronavirus [Score: 91];1;30
Atividade antimicrobiana;Atividade microbiana [Score: 91];1;32
Institucionalização;Desinstitucionalização [Score: 93];1;29
Nematóides;Nematoides [Score: 90];1;31
Artrite reumatoide;Artrite reumatóide [Score: 94];1;40
Biblioteca digital;Bibliotecas digitais [Score: 89];1;32
Engenharia biomédica;Engenharia médica [Score: 92];1;28
Cerrados - conservação;Oceanos - conservação [Score: 88];1;28
Imunologia;Limnologia [Score: 90];1;29
Custos;Custo [Score: 91];1;29
Zoologia;Oologia [Score: 93];1;33
Vegetação;Revegetação [Score: 90];1;38
Síndrome metabólica;Síndrome X Metabólica [Score: 95];1;31
Zooplâncton;Zooplâncto [Score: 95];1;33
Kalunga (comunidade quilombola brasileira) - Goiás (Estado);Vão de Almas(comunidade quilombola brasileira) - Goiás (Estado) [Score: 89];1;32
Inovação tecnológica;Informação tecnológica [Score: 90];1;41
Degradação ambiental;Degradação socioambiental [Score: 89];1;30
Ultrassonografia;Ultrasonografia [Score: 97];1;31
Biocombustível;Biocombustíveis [Score: 90];1;43
Música popular - Brasil;Música popular - Brasília [Score: 92];1;32
Conflito socioambiental;Conflitos socioambientais [Score: 92];1;32
Gerenciamento de riscos;Gerenciamento de QoS [Score: 88];1;29
Soja - doenças e pragas;Uva - doenças e pragas [Score: 89];1;34
Pacientes;Acidentes [Score: 89];1;32
Economia florestal;Ecologia florestal [Score: 89];1;43
Pessoas com deficiência visual;Pessoa com deficiência visual [Score: 98];1;30
Linguagem e línguas - estudo e ensino;Linguagem e línguas - estudo e ensino - idosos [Score: 89];1;31
Histórias em quadrinhos;História em quadrinho [Score: 95];1;33
Pediatria;Pediatra [Score: 94];1;30
Probabilidades;Probabilidade [Score: 96];1;30
Linfócitos;Linfócitos T [Score: 91];1;12
Psicologia do comportamento;Psicologia comportamental [Score: 88];1;16
Exploração de dados;Extração de dados [Score: 89];1;5
Programa Nacional de Fortalecimento da Agricultura Familiar (PRONAF);Programa Nacional de Fortalecimento da Agricultura Familiar (Brasil) [Score: 94];1;6
MATLAB (Programa de computador);ATP (Programa de computador) [Score: 92];1;7
Eventos culturais;Centros culturais [Score: 88];1;6
Autômatos celulares;Autômato celular [Score: 91];1;6
Jornalismo político;Jornalismo - política [Score: 90];1;6
Universidade de Brasília. Instituto Central de Ciências;Universidade de Brasília. Instituto de Geociências [Score: 90];1;7
Plântula;Plântulas [Score: 94];1;8
Óptica;Ótica [Score: 91];1;8
Autoeficácia;Auto-eficácia [Score: 96];1;8
Engenharia reversa;Engenharia inversa [Score: 89];1;6
Estruturas de concreto;Estrutura de concreto [Score: 98];1;6
Sujeito constitucional;Sujeitos constitucionais [Score: 91];1;6
Sulfeto de hidrogênio;Sulfureto de hidrogênio [Score: 95];1;6
Planejamento experimental;Delineamento experimental [Score: 88];1;6
Avicultura;Apicultura [Score: 90];1;8
Insuficiência renal;Insuficiência adrenal [Score: 95];1;6
Resistência à doença;Resistência a doenças [Score: 93];1;6
Lactobacillus;Lactobacilos [Score: 88];1;6
Lactuca sativa L.;Lactuca sativa [Score: 90];1;8
Kundera, Milan, 1929 - crítica e interpretação;Kundera, Milan, 1929- crítica e interpretação [Score: 99];1;6
Ecologia aquática;Biologia aquática [Score: 88];1;6
Creatinina;Creatina [Score: 89];1;10
Ruminante;Ruminantes [Score: 95];1;8
Design - interface;Design de interface [Score: 92];1;9
Educação - prisões;Educação em prisões [Score: 92];1;6
Medidas de segurança;Medida de segurança [Score: 97];1;9
Obesidade em crianças;Obesidade - crianças [Score: 93];1;7
Potyvirus;Potyvírus [Score: 89];1;6
Arquitetura moderna brasileira;Arquitetura moderna - Brasil [Score: 90];1;7
Poéticas artísticas;Práticas artísticas [Score: 89];1;7
Ciclos de aprendizagem;Estilos de aprendizagem [Score: 89];1;6
Teoria de Enfermagem;Teorias de Enfermagem [Score: 98];1;6
Crônicas;Cônicas [Score: 93];1;9
Universidades e faculdades públicas - administração;Universidades e faculdades - administração [Score: 90];1;10
Rochas sedimentares;Rochas metassedimentares [Score: 88];1;7
Movimento Indígena;Movimentos indígenas [Score: 95];1;6
Indústrias - Brasil;Indústria - Brasil [Score: 97];1;6
Grãos - armazenamento;Gás - armazenamento [Score: 90];1;6
Cinema - Brasil;Clima - Brasil [Score: 90];1;6
Filtro de Kalman Estendido (FKE);Filtro de Kalman estendido [Score: 90];1;6
Canção popular;Canto popular [Score: 89];1;8
Socialização profissional;Fiscalização profissional [Score: 92];1;9
Métodos sem malha;Método sem malha [Score: 97];1;6
Neofobia alimentar;Fobia alimentar [Score: 91];1;6
Instituições sociais;Instituições fiscais [Score: 90];1;8
Método;Métodos [Score: 92];1;8
Ministério da Justiça e Segurança Pública (MJSP);Ministério da Justiça e Segurança Pública [Score: 92];1;6
Dicalcogenetos de metais de transição;Dichalcogenetos de metais de transição [Score: 99];1;6
Transportes - legislação;Esportes - legislação [Score: 89];1;6
Humanidade;Humanidades [Score: 95];1;6
Ácaros;Ácaro [Score: 91];1;6
Transportes - aspectos econômicos;Portos - aspectos econômicos [Score: 89];1;7
Eletricidade;Bioeletricidade [Score: 89];1;7
Iconografia;Geoiconografia [Score: 88];1;7
Transporte - Brasil;Transportes - Brasil [Score: 97];1;8
Célula combustível;Células a combustível [Score: 92];1;6
Transistores;Transistor [Score: 91];1;6
Mapeamento de processos;Mapeamentos de processos [Score: 98];1;6
Transformada de Wavelet;Transformada wavelet [Score: 93];1;8
Mapas;Mapa [Score: 89];1;6
Produção de alimentos;produção de sedimentos [Score: 88];1;6
Produtos agrícolas - comercialização;Produtos agrícolas - Brasil - comercialização [Score: 89];1;6
Residência artística;Resistência artístia [Score: 90];1;6
Heteropoliácido;Heteropoliácidos [Score: 97];1;7
Sistemas de indicação visual tridimensional;Sistema de indicação visual tridimensional [Score: 99];1;6
Psicólogos;Psicólogas [Score: 90];1;7
Superfícies mínimas;Superfícies máximas [Score: 89];1;6
Organização Mundial da Saúde (OMS);Organização Mundial da Saúde [Score: 90];1;8
Energia elétrica - fontes alternativas;Energia térmica - fontes alternativas [Score: 93];1;6
Aves - proteção;Ave - proteção [Score: 97];1;6
Sindicatos - professores;Sindicalismo - professores [Score: 88];1;6
Ecossistema aquático;Ecossistemas aquáticos [Score: 95];1;10
Saltos com contramovimento;Salto com contramovimento [Score: 98];1;6
Experiência religiosa;Experiências religiosas [Score: 95];1;6
Tireóide - câncer;Tireoide - câncer [Score: 94];1;8
Sistema Interamericano de Direitos Humanos (SIDH);Instituto Interamericano de Direitos Humanos (IIDH) [Score: 88];1;6
Problemas inversos;Problema inverso [Score: 94];1;9
Alimentos ultraprocessados;Alimentos processados [Score: 89];1;6
Bioética - América Latina;Política - América Latina [Score: 88];1;7
Revolução Cubana;Evolução urbana [Score: 90];1;7
Orçamento familiar;Orçamento militar [Score: 91];1;6
Madeira tropical;Madeiras tropicais [Score: 88];1;9
Diferenças sexuais;Diferença sexual [Score: 88];1;9
Sistema literário;Sistema ternários [Score: 88];1;6
Biorrefinarias;Biorrefinaria [Score: 96];1;6
Concreto - propriedades mecânicas;Concreto armado - propriedades mecânicas [Score: 90];1;6
Sequenciamento de nova geração (NGS);Sequenciamento de nova geração [Score: 91];1;6
Lesões por esforços repetitivos;Lesão por esforço repetitivo [Score: 88];1;8
Ciência dos materiais;Ciência de materiais [Score: 93];1;6
Psicologia do trabalho;Sociologia do trabalho [Score: 91];1;18
Heteronormatividade;Cisheteronormatividade [Score: 93];1;7
Frutos;Frutose [Score: 92];1;7
Pseudoelasticidade;Pseudoplasticidade [Score: 94];1;8
Lycopersicon esculentum;Lycopersicon esculentum Mill [Score: 90];1;7
Arco Magmático de Goiás (AMG);Arco Magmático de Goiás [Score: 88];1;7
Bioética - Brasil;Botânica - Brasil [Score: 88];1;9
Distopias;Distopia [Score: 94];1;8
Biomassa microbiana;P da biomassa microbiana [Score: 88];1;7
Perfil metabólico;Perfil metabolômico [Score: 89];1;7
Imunidade;Impunidade [Score: 95];1;7
Literatura e história;Literatura - História [Score: 95];1;8
Aristóteles - crítica e interpretação;Aristófanes - crítica e interpretação [Score: 92];1;7
Efeito de vizinhança;Efeitos vizinhança [Score: 89];1;7
Riso;Risco [Score: 89];1;8
Solventes;Solvente [Score: 94];1;8
Predicados;Predicado [Score: 95];1;7
Hiperglicemia;Hipoglicemia [Score: 88];1;7
Contadores;Cantadores [Score: 90];1;7
Empregadas domésticas;Empregados domésticos [Score: 90];1;8
Patrimônio arquitetônico;Patrimônios arquitetônicos [Score: 96];1;7
Etnologia - índios;Etnologia - Índia [Score: 91];1;8
Dados geofísicos;Dados aerogeofísicos [Score: 89];1;8
Fundo Nacional de Desenvolvimento da Educação (Brasil);Fundo Nacional de Desenvolvimento da Educação (FNDE) [Score: 91];1;10
Catalisadores heterogêneos;Nanocatalisadores heterogêneos [Score: 93];1;7
Radar de Abertura Sintética;Radar de Abertura Sintética (SAR) [Score: 90];1;7
Ferrovias;Ferrovia [Score: 94];1;7
Relações culturais;Ações culturais [Score: 91];1;7
Epidermólise bolhosa;Epidermólise bullosa [Score: 90];1;7
Metodologias ativas;Metodologia ativa [Score: 94];1;10
Carrapato;Carapato [Score: 94];1;7
Microalga;Microalgas [Score: 95];1;8
Região Neotropical;Rio neotropical [Score: 91];1;7
Aborto - legislação;Portos - legislação [Score: 89];1;10
Sistema fotovoltaico;Sistemas fotovoltaicos [Score: 95];1;8
Redes Definidas por Software (SDN);Redes definidas por software [Score: 90];1;8
Cardiomiopatia;Cardiomiopatias [Score: 97];1;7
Músicos - formação profissional;Música - formação profissional [Score: 95];1;8
Ovócito;Oócito [Score: 92];1;9
Protótipo;Protótipos [Score: 95];1;7
Conflito - administração;Conflitos - administração [Score: 98];1;7
Meta-análise;Metanálise [Score: 91];1;9
Século XVIII;Século XVII [Score: 96];1;8
Hermenêutica (Filosofia);Hermenêutica filosófica [Score: 89];1;8
Hortaliças - Distrito Federal (Brasil);Geografia - Distrito Federal (Brasil) [Score: 88];1;7
Cadeias de Markov;Cadeia de Markov [Score: 97];1;6
Aprendizagem - autonomia;Aprendizagem autônoma [Score: 89];1;9
Assistentes sociais;Assistente social [Score: 89];1;7
Letramento crítico;Letramentos críticos [Score: 95];1;7
Documento;Documentos [Score: 95];1;7
Antropologia cultural;Antropologia e cultura [Score: 93];1;7
Tradução audiovisual;Produção audiovisual [Score: 90];1;8
Grupos solúveis;Grupossolúveis [Score: 97];1;7
Materialidade;Lateralidade [Score: 88];1;7
Grupos sociais;Grupos focais [Score: 89];1;10
Guerra;Guerras [Score: 92];1;7
Adesão a medicamentos;Acesso a medicamentos [Score: 90];1;8
Adolescentes - direitos humanos;Pacientes - direitos humanos [Score: 88];1;6
Políticas migratórias - Brasil;Políticas migratórias - Chile [Score: 88];1;6
Informática - educação;Informática na educação [Score: 93];1;6
Esgotos domésticos;Esgoto doméstico [Score: 94];1;7
Espectroscopia de reflectância;Espectros de reflectância [Score: 91];1;6
Pesquisa-ação em educação;Pesquisa em educação [Score: 89];1;6
Artrópodes;Artrópode [Score: 95];1;7
Mulheres nas profissões;Mulheres - profissões [Score: 91];1;6
Direito trabalhista;Direitos trabalhistas [Score: 95];1;8
Arquivos e arquivamento (Documentos);Arquivos e arquivamento (Documentos) - Brasil [Score: 89];1;12
Indígenas - etnografia;Indígenas - etnologia [Score: 88];1;7
Arte e política;Arte - política [Score: 93];1;9
Uso do território;Usos do Território [Score: 97];1;7
Transportes - administração;Transporte aéreo - administração [Score: 88];1;8
Contos de fadas;Contos de fada [Score: 97];1;7
Bovino de corte - alimentação e rações;Bovino de leite - alimentação e rações [Score: 92];1;7
Lagarto - morfologia;Lagartixas - morfologia [Score: 88];1;8
Sociobiodiversidade;Sociobiodiverdidade [Score: 95];1;7
Ateísmo;Teísmo [Score: 92];1;11
Economia Keynesiana;Economia pós-keynesiana [Score: 90];1;10
Dosimetria;Simetria [Score: 89];1;10
Integridade;Integralidade [Score: 92];1;9
Trocas gasosas;Troca gasosa [Score: 92];1;7
Inteligência artificial - legislação;Inteligência artificial - regulação [Score: 93];1;7
Unidade de internação;Unidades de internação [Score: 98];1;9
Autoestima;Auto-estima [Score: 95];1;7
Universidade de Brasília - programas de ação afirmativa - aspectos sociais;Universidade de Brasília - programas de ação afirmativa - aspectos econômicos [Score: 93];1;7
Economia compartilhada;Economia compartihada [Score: 98];1;7
Inventário;Inventários [Score: 95];1;9
Crianças autistas;Crianças artistas [Score: 94];1;7
Diversidade linguística;Diversidade sociolinguística [Score: 90];1;7
Herpesvírus bovino;Alfaherpesvírus bovino [Score: 90];1;6
Características nacionais - Brasil;Características nacionais - Haiti [Score: 90];1;6
STEP-NC;STEP- NC [Score: 93];1;6
Unidade de Ensino Potencialmente Significativa (UEPS);Unidades de Ensino Potencialmente Significativas [Score: 93];1;6
Professor reflexivo;Professores reflexivos [Score: 93];1;5
Transcriação;Transcrição [Score: 96];1;5
Professores - Distrito Federal (Brasil);Esportes - Distrito Federal (Brasil) [Score: 91];1;6
Professores - educação permanente;Professoras - educação permanente [Score: 97];1;5
Hibridização;Hibridação [Score: 91];1;5
Medicina oral;Medicina rural [Score: 89];1;6
Burocracia de nível de rua;Burocratas de nível de rua [Score: 92];1;5
Profissionalidade;Profesionalidade [Score: 91];1;5
Amortecedores;Amortecedor [Score: 92];1;6
Unidades de Pronto Atendimento (UPA);Unidade de Pronto Atendimento [Score: 89];1;5
Unificação nominal;Desunificação nominal [Score: 92];1;5
Pesquisa autobiográfica;Pesquisa (auto)biográfica [Score: 96];1;5
Poder - aspectos sociais;Pobreza - aspectos sociais [Score: 88];1;7
Variáveis macroeconômicas;Variáveis econômicas [Score: 89];1;5
Plástico;Plásticos [Score: 94];1;6
Autoridade;Autoralidade [Score: 91];1;5
Invertebrado;Vertebrado [Score: 91];1;7
Literatura fantástica;Literatura  fantástica [Score: 98];1;5
Literatura japonesa;Literatura polonesa [Score: 89];1;5
Melastomataceae;Melastomatacea [Score: 97];1;5
Palavra (Linguística);Palavra (Lingüística) [Score: 95];1;5
Propagação in-vitro;Propagação in vitro [Score: 95];1;5
Violência escolar - prevenção;Violência escolar - prevençãoCAPES [Score: 92];1;5
Traumatismos dentários;Traumatismo dentário [Score: 95];1;7
Imposto de Renda da Pessoa Física (IRPF);Imposto de Renda da Pessoa Jurídica (IRPJ) [Score: 90];1;5
Treliça espacial;Treliças espaciais [Score: 88];1;5
Aparelhos e materiais eletrônicos;Aparelhos e materiais eletrônicos - custos [Score: 88];1;5
Treinamento por simulação;Treinamento por simulação [Score: 88];1;5
Análise funcional;Análise  funcional [Score: 97];1;5
Biodistribuição;Distribuição [Score: 89];1;5
Bioensaios;Bioensaio [Score: 95];1;5
Governança de TI;Governaça em TI [Score: 90];1;7
Topologia;Tipologia [Score: 89];1;6
Gossypium hirsutum;Gossypium hirsutum L [Score: 95];1;5
Golpe de 2016;Golpe de 2019 [Score: 92];1;5
Projeto de lei;Projetos de lei [Score: 97];1;7
Café - doenças e pragas;Teca - doenças e pragas [Score: 91];1;5
Capacidade motora nas crianças;Capacidade motora - crianças [Score: 93];1;6
Micróglia;Microglia [Score: 89];1;6
Milho - plantio;Milheto - plantio [Score: 94];1;5
Zonas climáticas locais;Zona climática local [Score: 88];1;5
Avaliação da informação;Visualização da informação [Score: 90];1;6
Isoflavonóides;Flavonóides [Score: 88];1;8
Malte;Mate [Score: 89];1;6
Atos normativos;Ato normativo [Score: 93];1;5
Permeabilidade;Permutabilidade [Score: 90];1;5
Avaliação de projetos;Valoração de projetos [Score: 90];1;5
Intermediação;Desintermediação [Score: 90];1;5
Instituto do Patrimônio Histórico e Artístico Nacional (Brasil);Serviço do Patrimônio Histórico e Artístico Nacional (Brasil) [Score: 92];1;6
Bacillus (Bacteria);Bacillus (Bactéria) [Score: 95];1;5
Ar - qualidade;Carne - qualidade [Score: 90];1;5
Política governamental;Políticas governamentais [Score: 91];1;5
Política e governo;Políticas de governo [Score: 95];1;5
Política esportiva;Políticas esportivas [Score: 95];1;5
Veterinária;Veterinário [Score: 91];1;5
Instrução explícita;Instrução implícita [Score: 89];1;6
Percepção da fala;Percepção de fala [Score: 94];1;6
Capitalismo - América Latina;Socialismo - América Latina [Score: 91];1;5
Neurotoxicidade;Neurotoxidade [Score: 93];1;6
Árvores - cerrados;Árvores - Cerrado [Score: 97];1;5
Farmacêuticos;Farmacêutico [Score: 96];1;7
Árvore de decisão;Árvores de decisão [Score: 97];1;5
Termorregulação;Heterorregulação [Score: 90];1;5
Psicologia da arte;Sociologia da arte [Score: 89];1;6
Inteligência Artificial Explicável (XAI);Inteligência artificial explicável [Score: 92];1;5
Política de preços;Políticas de preços [Score: 97];1;5
Barros, Manoel de, 1916-;Barros, Manoel de, 1916-2014 [Score: 92];1;5
Inspeção;Inspecção [Score: 94];1;5
Bens imóveis;Bens móveis [Score: 96];1;6
Vacinação em massa;Criação em massa [Score: 88];1;5
União de Nações Sul-Americanas (Unasul);União das Nações Sul-Americanas (UNASUL) [Score: 96];1;5
Keynes, John Maynard, 1883-1946;Keynes, John Maynard 1883-1946 [Score: 98];1;5
Atletas - aspectos fisiológicos;Atletas - aspectos psicológicos [Score: 94];1;6
Licença maternidade;Licença paternidade [Score: 95];1;5
Vendas;Venda [Score: 91];1;5
Políticas regulatórias;Política regulatória [Score: 95];1;5
Baixa-visão;Baixa visão [Score: 91];1;6
Indústria espacial;Indústria aeroespacial [Score: 90];1;5
Políticas afirmativas;Política afirmativa [Score: 95];1;8
Língua munduruku - terminologia;Língua munduruku - fonologia [Score: 88];1;5
Pensamento latinoamericano;Pensamento latino-americano [Score: 98];1;5
Tributação - Brasil;Tributos - Brasil [Score: 89];1;5
Indígenas - línguas - morfossintaxe;Indígenas - línguas - sintaxe [Score: 91];1;5
Indígenas - línguas - morfologia;Indígenas - línguas - fonologia [Score: 92];1;5
Pedologia;Podologia [Score: 89];1;5
Tribunais supremos - Brasil;Tribunais superiores - Brasil [Score: 89];1;6
Impacto econômico;Impactos econômicos [Score: 94];1;7
Implantes dentários;Reimplante dentário [Score: 89];1;5
Traumatismos da medula espinhal;Traumatismos da medula espinal [Score: 98];1;5
Análise de componentes principais;Análise de componente principal [Score: 94];1;5
Periodontia;Periondontia [Score: 96];1;6
Controle sintético;Controles sintéticos [Score: 95];1;6
Dasometria;Gasometria [Score: 90];1;8
Deslocamentos forçados;Deslocamento forçado [Score: 95];1;6
Biodeterioração;Deterioração [Score: 89];1;6
Idosos - políticas públicas;Índios - políticas públicas [Score: 89];1;6
Pequenos negócios;Pequeno negócio [Score: 94];1;6
Distúrbios da nutrição - crianças;Distúrbios da audição - crianças [Score: 92];1;7
Chatbot;Chatbots [Score: 93];1;9
Medula espinhal;Medula espinal [Score: 97];1;7
Teoria Marxista da Dependência;Teoria Marxista da Dependência (TMD) [Score: 91];1;6
Modelo digital de terreno;Modelo Digital de Terreno (MDT) [Score: 89];1;7
Distúrbios da visão;Distúrbios da voz [Score: 89];1;8
Língua;Línguas [Score: 92];1;6
Data Envelopment Analysis;Data Envelopment Analysis (DEA) [Score: 89];1;6
Enzima conversora da angiotensina;Enzima Conversora de Angiotensina (ECA) [Score: 89];1;5
Escorregamentos de terra;Ecorregamentos de terra [Score: 98];1;5
Sincretismo religioso;Sincretismo - religião [Score: 88];1;5
Tarifas;Tarifa [Score: 92];1;5
Fluência;Influência [Score: 89];1;6
Imagem cinematográfica;Linguagem cinematográfica [Score: 89];1;8
Erros de medicação;Erro de medicação [Score: 97];1;6
Modelo de maturidade;Modelos de maturidade [Score: 98];1;6
Física aplicada;Geofísica aplicada [Score: 91];1;7
Transnacionalismo;Transnationalism [Score: 91];1;7
Práticas de letramento;Práticas de letramentos [Score: 98];1;7
Processo de Desenvolvimento de Produtos;Processo de Desenvolvimento de Produtos (PDP) [Score: 93];1;7
Metiltransferases;Metiltransferase [Score: 97];1;10
Medição florestal;Medição - florestas [Score: 89];1;7
Certificação;Certificção [Score: 96];1;6
Certificação ambiental;Certificações ambiental [Score: 89];1;6
Escleroterapia;Eletroterapia [Score: 89];1;8
Constituição brasileira;Constituição brasileira 1988 [Score: 90];1;6
Arqueologia;Bioarqueologia [Score: 88];1;6
Cevada - cultivo;Cevada -  cultivo [Score: 97];1;6
Cerrados - incêndios florestais;Cerrados - ciências florestais [Score: 89];1;6
Imprensa brasileira;Empresa brasileira [Score: 92];1;7
Qualidade do sono;Qualidade do solo [Score: 94];1;8
Fotocatálise;Fotocatalise [Score: 92];1;6
